,S.No,model_name,mileage,cyl,disp,hp,drat,wt,kmph,vs,am,gear,carb,power
26,27,Porsche 914-2,26.0,4.0,120.3,91.0,4.43,2.14,16.7,0.0,1.0,5,2,455.0
27,28,Lotus Europa,30.4,4.0,95.1,113.0,3.77,1.513,16.9,1.0,1.0,5,2,565.0
29,30,Ferrari Dino,19.7,6.0,145.0,175.0,3.62,2.77,15.5,0.0,1.0,5,6,875.0
28,29,Ford Pantera L,15.8,8.0,351.0,264.0,4.22,3.17,14.5,0.0,1.0,5,4,1320.0
30,31,Maserati Bora,15.0,8.0,301.0,335.0,3.54,3.57,14.6,0.0,1.0,5,8,1675.0
18,19,,30.4,4.0,75.7,52.0,4.93,1.615,18.52,1.0,1.0,4,2,208.0
7,8,Merc 240D,24.4,4.0,146.7,62.0,3.69,3.19,20.0,1.0,0.0,4,2,248.0
19,20,,33.9,4.0,71.1,65.0,4.22,1.835,19.9,1.0,1.0,4,1,260.0
17,18,Fiat 128,32.4,4.0,78.7,66.0,4.08,2.2,,1.0,1.0,4,1,264.0
25,26,Fiat X1-9,27.3,4.0,79.0,66.0,4.08,1.935,,1.0,1.0,4,1,264.0
2,3,Datsun 710,22.8,4.0,108.0,93.0,3.85,2.32,18.61,1.0,1.0,4,1,372.0
1,2,Mazda RX4 Wag,21.0,6.0,160.0,110.0,3.9,2.875,17.02,0.0,1.0,4,4,440.0
0,1,Mazda RX4,21.0,6.0,160.0,110.0,3.9,2.62,16.46,0.0,1.0,4,4,440.0
9,10,Merc 280,19.2,6.0,167.6,123.0,3.92,3.44,18.3,1.0,0.0,4,4,492.0
10,11,Merc 280C,17.8,6.0,167.6,123.0,3.92,3.44,18.9,1.0,0.0,4,4,492.0
8,9,Merc 230,22.8,4.0,140.8,,3.92,3.15,22.9,1.0,0.0,4,2,
20,21,,21.5,4.0,120.1,97.0,3.7,2.465,20.01,1.0,0.0,3,1,291.0
5,6,Valiant,18.1,6.0,225.0,105.0,2.76,3.46,,1.0,0.0,3,1,315.0
3,4,Hornet 4 Drive,21.4,6.0,258.0,110.0,3.08,3.215,19.44,1.0,0.0,3,1,330.0
21,22,,15.5,8.0,318.0,150.0,2.76,3.52,16.87,0.0,0.0,3,2,450.0
22,23,AMC Javelin,15.2,8.0,304.0,150.0,3.15,3.435,17.3,0.0,0.0,3,2,450.0
24,25,Pontiac Firebird,19.2,8.0,400.0,175.0,3.08,3.845,17.05,0.0,0.0,3,2,525.0
4,5,Hornet Sportabout,18.7,8.0,360.0,175.0,3.15,3.44,17.02,0.0,0.0,3,2,525.0
12,13,Merc 450SL,17.3,8.0,,180.0,3.07,3.73,17.6,0.0,0.0,3,3,540.0
13,14,Merc 450SLC,15.2,8.0,,180.0,3.07,3.78,18.0,0.0,0.0,3,3,540.0
11,12,Merc 450SE,16.4,8.0,275.8,180.0,3.07,4.07,17.4,0.0,0.0,3,3,540.0
15,16,Lincoln Continental,10.4,8.0,460.0,215.0,3.0,5.424,17.82,0.0,0.0,3,4,645.0
16,17,Chrysler Imperial,14.7,8.0,440.0,230.0,3.23,5.345,17.42,0.0,0.0,3,4,690.0
23,24,Camaro Z28,13.3,8.0,350.0,245.0,3.73,3.84,15.41,0.0,0.0,3,4,735.0
6,7,Duster 360,14.3,8.0,360.0,245.0,3.21,3.57,15.84,0.0,0.0,3,4,735.0
14,15,Cadillac Fleetwood,10.4,8.0,,,2.93,5.25,17.98,0.0,0.0,3,4,
31,32,Volvo,,,4.0,2.0,,,,,,2,10,4.0
